antecedent,consequent,antecedent_str,consequent_str,rule_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"['Organic Hass Avocados', 'Roasted Salted Almonds']","['Organic Baby Spinach', 'Sparkling Mineral Water']",Organic Hass Avocados + Roasted Salted Almonds,Organic Baby Spinach + Sparkling Mineral Water,Organic Hass Avocados + Roasted Salted Almonds ➔ Organic Baby Spinach + Sparkling Mineral Water,0.0431,0.443,4.581,0.0337,1.622,0.0973,0.0967
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Strawberry Jam']",['Sea Salt Kettle Chips'],Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Strawberry Jam,Sea Salt Kettle Chips,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Strawberry Jam ➔ Sea Salt Kettle Chips,0.0577,0.5357,4.575,0.0451,1.902,0.1077,0.1171
['Sea Salt Kettle Chips'],"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Strawberry Jam']",Sea Salt Kettle Chips,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Strawberry Jam,Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Strawberry Jam,0.0577,0.4927,4.575,0.0451,1.759,0.1171,0.1077
"['Roasted Salted Almonds', 'Roma Tomatoes']","['Extra Virgin Olive Oil', 'Sparkling Mineral Water']",Roasted Salted Almonds + Roma Tomatoes,Extra Virgin Olive Oil + Sparkling Mineral Water,Roasted Salted Almonds + Roma Tomatoes ➔ Extra Virgin Olive Oil + Sparkling Mineral Water,0.0406,0.4418,4.573,0.0317,1.618,0.0919,0.0966
"['Extra Virgin Olive Oil', 'Sparkling Mineral Water']","['Roasted Salted Almonds', 'Roma Tomatoes']",Extra Virgin Olive Oil + Sparkling Mineral Water,Roasted Salted Almonds + Roma Tomatoes,Extra Virgin Olive Oil + Sparkling Mineral Water ➔ Roasted Salted Almonds + Roma Tomatoes,0.0406,0.4203,4.573,0.0317,1.566,0.0966,0.0919
"['Mild Chunky Salsa', 'Organic Tortilla Chips']","['Fresh Limes', 'Fresh Organic Cilantro']",Mild Chunky Salsa + Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro,Mild Chunky Salsa + Organic Tortilla Chips ➔ Fresh Limes + Fresh Organic Cilantro,0.0791,0.795,4.571,0.0618,4.029,0.0995,0.1739
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']","['Extra Virgin Olive Oil', 'Penne Rigate Pasta']",72% Dark Chocolate Bar + Grated Parmesan Cheese,Extra Virgin Olive Oil + Penne Rigate Pasta,72% Dark Chocolate Bar + Grated Parmesan Cheese ➔ Extra Virgin Olive Oil + Penne Rigate Pasta,0.0452,0.4612,4.571,0.0353,1.669,0.098,0.1009
"['Fresh Limes', 'Fresh Organic Cilantro']","['Mild Chunky Salsa', 'Organic Tortilla Chips']",Fresh Limes + Fresh Organic Cilantro,Mild Chunky Salsa + Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro ➔ Mild Chunky Salsa + Organic Tortilla Chips,0.0791,0.4549,4.571,0.0618,1.652,0.1739,0.0995
"['Extra Virgin Olive Oil', 'Penne Rigate Pasta']","['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']",Extra Virgin Olive Oil + Penne Rigate Pasta,72% Dark Chocolate Bar + Grated Parmesan Cheese,Extra Virgin Olive Oil + Penne Rigate Pasta ➔ 72% Dark Chocolate Bar + Grated Parmesan Cheese,0.0452,0.448,4.571,0.0353,1.634,0.1009,0.098
"['72% Dark Chocolate Bar', 'Penne Rigate Pasta']","['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']",72% Dark Chocolate Bar + Penne Rigate Pasta,Extra Virgin Olive Oil + Grated Parmesan Cheese,72% Dark Chocolate Bar + Penne Rigate Pasta ➔ Extra Virgin Olive Oil + Grated Parmesan Cheese,0.0452,0.4684,4.57,0.0353,1.688,0.0965,0.1025
"['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']","['72% Dark Chocolate Bar', 'Penne Rigate Pasta']",Extra Virgin Olive Oil + Grated Parmesan Cheese,72% Dark Chocolate Bar + Penne Rigate Pasta,Extra Virgin Olive Oil + Grated Parmesan Cheese ➔ 72% Dark Chocolate Bar + Penne Rigate Pasta,0.0452,0.441,4.57,0.0353,1.616,0.1025,0.0965
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']","['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']",72% Dark Chocolate Bar + Grated Parmesan Cheese,Artisanal Sourdough Bread + Slow-Simmered Marinara,72% Dark Chocolate Bar + Grated Parmesan Cheese ➔ Artisanal Sourdough Bread + Slow-Simmered Marinara,0.0463,0.4724,4.569,0.0362,1.7,0.098,0.1034
"['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']","['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']",Artisanal Sourdough Bread + Slow-Simmered Marinara,72% Dark Chocolate Bar + Grated Parmesan Cheese,Artisanal Sourdough Bread + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar + Grated Parmesan Cheese,0.0463,0.4478,4.569,0.0362,1.633,0.1034,0.098
"['Fresh Limes', 'Mild Chunky Salsa']","['Fresh Organic Cilantro', 'Organic Hass Avocados']",Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes + Mild Chunky Salsa ➔ Fresh Organic Cilantro + Organic Hass Avocados,0.0801,0.7931,4.563,0.0625,3.993,0.101,0.1738
"['Fresh Organic Cilantro', 'Organic Hass Avocados']","['Fresh Limes', 'Mild Chunky Salsa']",Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Organic Hass Avocados ➔ Fresh Limes + Mild Chunky Salsa,0.0801,0.4609,4.563,0.0625,1.668,0.1738,0.101
['Organic Strawberry Jam'],['Creamy Peanut Butter'],Organic Strawberry Jam,Creamy Peanut Butter,Organic Strawberry Jam ➔ Creamy Peanut Butter,0.1235,0.7577,4.556,0.0964,3.44,0.163,0.1663
['Creamy Peanut Butter'],['Organic Strawberry Jam'],Creamy Peanut Butter,Organic Strawberry Jam,Creamy Peanut Butter ➔ Organic Strawberry Jam,0.1235,0.7426,4.556,0.0964,3.252,0.1663,0.163
"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese']","['Penne Rigate Pasta', 'Slow-Simmered Marinara']",Artisanal Sourdough Bread + Grated Parmesan Cheese,Penne Rigate Pasta + Slow-Simmered Marinara,Artisanal Sourdough Bread + Grated Parmesan Cheese ➔ Penne Rigate Pasta + Slow-Simmered Marinara,0.0736,0.7057,4.556,0.0574,2.871,0.1043,0.1549
"['Penne Rigate Pasta', 'Slow-Simmered Marinara']","['Artisanal Sourdough Bread', 'Grated Parmesan Cheese']",Penne Rigate Pasta + Slow-Simmered Marinara,Artisanal Sourdough Bread + Grated Parmesan Cheese,Penne Rigate Pasta + Slow-Simmered Marinara ➔ Artisanal Sourdough Bread + Grated Parmesan Cheese,0.0736,0.4751,4.556,0.0574,1.707,0.1549,0.1043
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']","['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']",72% Dark Chocolate Bar + Grated Parmesan Cheese,Extra Virgin Olive Oil + Slow-Simmered Marinara,72% Dark Chocolate Bar + Grated Parmesan Cheese ➔ Extra Virgin Olive Oil + Slow-Simmered Marinara,0.0442,0.451,4.547,0.0345,1.641,0.098,0.0992
"['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']","['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']",Extra Virgin Olive Oil + Slow-Simmered Marinara,72% Dark Chocolate Bar + Grated Parmesan Cheese,Extra Virgin Olive Oil + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar + Grated Parmesan Cheese,0.0442,0.4456,4.547,0.0345,1.627,0.0992,0.098
"['Fresh Organic Cilantro', 'Mild Chunky Salsa']","['Fresh Limes', 'Organic Tortilla Chips']",Fresh Organic Cilantro + Mild Chunky Salsa,Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa ➔ Fresh Limes + Organic Tortilla Chips,0.0791,0.7808,4.54,0.0617,3.778,0.1013,0.172
"['Fresh Limes', 'Organic Tortilla Chips']","['Fresh Organic Cilantro', 'Mild Chunky Salsa']",Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa,Fresh Limes + Organic Tortilla Chips ➔ Fresh Organic Cilantro + Mild Chunky Salsa,0.0791,0.4599,4.54,0.0617,1.664,0.172,0.1013
"['Extra Virgin Olive Oil', 'Oven Roasted Turkey Breast', 'Roma Tomatoes']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Roma Tomatoes,Organic Baby Spinach,Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Roma Tomatoes ➔ Organic Baby Spinach,0.0695,0.9073,4.537,0.0542,8.631,0.0766,0.2
"['Fresh Limes', 'Mild Chunky Salsa']","['Fresh Organic Cilantro', 'Organic Tortilla Chips']",Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa ➔ Fresh Organic Cilantro + Organic Tortilla Chips,0.0791,0.7832,4.535,0.0617,3.815,0.101,0.1727
"['72% Dark Chocolate Bar', 'Extra Virgin Olive Oil']","['Grated Parmesan Cheese', 'Penne Rigate Pasta']",72% Dark Chocolate Bar + Extra Virgin Olive Oil,Grated Parmesan Cheese + Penne Rigate Pasta,72% Dark Chocolate Bar + Extra Virgin Olive Oil ➔ Grated Parmesan Cheese + Penne Rigate Pasta,0.0452,0.7129,4.535,0.0352,2.936,0.0634,0.1572
"['Fresh Organic Cilantro', 'Organic Tortilla Chips']","['Fresh Limes', 'Mild Chunky Salsa']",Fresh Organic Cilantro + Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Organic Tortilla Chips ➔ Fresh Limes + Mild Chunky Salsa,0.0791,0.458,4.535,0.0617,1.659,0.1727,0.101
"['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']","['Grated Parmesan Cheese', 'Penne Rigate Pasta']",Artisanal Sourdough Bread + Slow-Simmered Marinara,Grated Parmesan Cheese + Penne Rigate Pasta,Artisanal Sourdough Bread + Slow-Simmered Marinara ➔ Grated Parmesan Cheese + Penne Rigate Pasta,0.0736,0.7118,4.528,0.0573,2.924,0.1034,0.1572
"['Grated Parmesan Cheese', 'Penne Rigate Pasta']","['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']",Grated Parmesan Cheese + Penne Rigate Pasta,Artisanal Sourdough Bread + Slow-Simmered Marinara,Grated Parmesan Cheese + Penne Rigate Pasta ➔ Artisanal Sourdough Bread + Slow-Simmered Marinara,0.0736,0.4682,4.528,0.0573,1.686,0.1572,0.1034
"['Mild Chunky Salsa', 'Organic Tortilla Chips']","['Fresh Organic Cilantro', 'Sparkling Mineral Water']",Mild Chunky Salsa + Organic Tortilla Chips,Fresh Organic Cilantro + Sparkling Mineral Water,Mild Chunky Salsa + Organic Tortilla Chips ➔ Fresh Organic Cilantro + Sparkling Mineral Water,0.0468,0.4704,4.518,0.0364,1.692,0.0995,0.1041
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']","['Mild Chunky Salsa', 'Organic Tortilla Chips']",Fresh Organic Cilantro + Sparkling Mineral Water,Mild Chunky Salsa + Organic Tortilla Chips,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Mild Chunky Salsa + Organic Tortilla Chips,0.0468,0.4496,4.518,0.0364,1.636,0.1041,0.0995
"['Extra Virgin Olive Oil', 'Organic Hass Avocados', 'Oven Roasted Turkey Breast']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Organic Hass Avocados + Oven Roasted Turkey Breast,Organic Baby Spinach,Extra Virgin Olive Oil + Organic Hass Avocados + Oven Roasted Turkey Breast ➔ Organic Baby Spinach,0.0702,0.9012,4.506,0.0546,8.094,0.0779,0.2
"['72% Dark Chocolate Bar', 'Slow-Simmered Marinara']","['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']",72% Dark Chocolate Bar + Slow-Simmered Marinara,Extra Virgin Olive Oil + Grated Parmesan Cheese,72% Dark Chocolate Bar + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil + Grated Parmesan Cheese,0.0442,0.4619,4.506,0.0344,1.668,0.0957,0.1025
"['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']","['72% Dark Chocolate Bar', 'Slow-Simmered Marinara']",Extra Virgin Olive Oil + Grated Parmesan Cheese,72% Dark Chocolate Bar + Slow-Simmered Marinara,Extra Virgin Olive Oil + Grated Parmesan Cheese ➔ 72% Dark Chocolate Bar + Slow-Simmered Marinara,0.0442,0.4312,4.506,0.0344,1.59,0.1025,0.0957
['Organic Baby Spinach'],"['Extra Virgin Olive Oil', 'Organic Hass Avocados', 'Oven Roasted Turkey Breast']",Organic Baby Spinach,Extra Virgin Olive Oil + Organic Hass Avocados + Oven Roasted Turkey Breast,Organic Baby Spinach ➔ Extra Virgin Olive Oil + Organic Hass Avocados + Oven Roasted Turkey Breast,0.0702,0.351,4.506,0.0546,1.421,0.2,0.0779
"['Mild Chunky Salsa', 'Organic Tortilla Chips']","['Fresh Organic Cilantro', 'Organic Hass Avocados']",Mild Chunky Salsa + Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados,Mild Chunky Salsa + Organic Tortilla Chips ➔ Fresh Organic Cilantro + Organic Hass Avocados,0.0779,0.7829,4.505,0.0606,3.806,0.0995,0.1738
"['Fresh Organic Cilantro', 'Organic Hass Avocados']","['Mild Chunky Salsa', 'Organic Tortilla Chips']",Fresh Organic Cilantro + Organic Hass Avocados,Mild Chunky Salsa + Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados ➔ Mild Chunky Salsa + Organic Tortilla Chips,0.0779,0.4482,4.505,0.0606,1.632,0.1738,0.0995
"['Organic Whole Milk', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Organic Whole Milk + Sea Salt Kettle Chips,Creamy Peanut Butter,Organic Whole Milk + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0429,0.7487,4.502,0.0334,3.317,0.0573,0.1663
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']","['Fresh Limes', 'Organic Tortilla Chips']",Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Fresh Limes + Organic Tortilla Chips,0.0805,0.7733,4.496,0.0626,3.652,0.1041,0.172
"['Fresh Limes', 'Organic Tortilla Chips']","['Fresh Organic Cilantro', 'Sparkling Mineral Water']",Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes + Organic Tortilla Chips ➔ Fresh Organic Cilantro + Sparkling Mineral Water,0.0805,0.468,4.496,0.0626,1.684,0.172,0.1041
"['Fresh Limes', 'Organic Tortilla Chips']","['Fresh Organic Cilantro', 'Organic Hass Avocados']",Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes + Organic Tortilla Chips ➔ Fresh Organic Cilantro + Organic Hass Avocados,0.1342,0.7802,4.489,0.1043,3.759,0.172,0.1738
"['Fresh Organic Cilantro', 'Organic Hass Avocados']","['Fresh Limes', 'Organic Tortilla Chips']",Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes + Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados ➔ Fresh Limes + Organic Tortilla Chips,0.1342,0.7722,4.489,0.1043,3.634,0.1738,0.172
"['72% Dark Chocolate Bar', 'Penne Rigate Pasta']","['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']",72% Dark Chocolate Bar + Penne Rigate Pasta,Extra Virgin Olive Oil + Slow-Simmered Marinara,72% Dark Chocolate Bar + Penne Rigate Pasta ➔ Extra Virgin Olive Oil + Slow-Simmered Marinara,0.0429,0.4446,4.481,0.0333,1.622,0.0965,0.0992
"['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']","['72% Dark Chocolate Bar', 'Penne Rigate Pasta']",Extra Virgin Olive Oil + Slow-Simmered Marinara,72% Dark Chocolate Bar + Penne Rigate Pasta,Extra Virgin Olive Oil + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar + Penne Rigate Pasta,0.0429,0.4325,4.481,0.0333,1.592,0.0992,0.0965
"['Fresh Organic Cilantro', 'Mild Chunky Salsa']","['Fresh Limes', 'Organic Hass Avocados']",Fresh Organic Cilantro + Mild Chunky Salsa,Fresh Limes + Organic Hass Avocados,Fresh Organic Cilantro + Mild Chunky Salsa ➔ Fresh Limes + Organic Hass Avocados,0.0801,0.7907,4.48,0.0622,3.935,0.1013,0.1765
"['72% Dark Chocolate Bar', 'Penne Rigate Pasta']","['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']",72% Dark Chocolate Bar + Penne Rigate Pasta,Artisanal Sourdough Bread + Slow-Simmered Marinara,72% Dark Chocolate Bar + Penne Rigate Pasta ➔ Artisanal Sourdough Bread + Slow-Simmered Marinara,0.0447,0.4632,4.48,0.0347,1.67,0.0965,0.1034
"['Fresh Limes', 'Organic Hass Avocados']","['Fresh Organic Cilantro', 'Mild Chunky Salsa']",Fresh Limes + Organic Hass Avocados,Fresh Organic Cilantro + Mild Chunky Salsa,Fresh Limes + Organic Hass Avocados ➔ Fresh Organic Cilantro + Mild Chunky Salsa,0.0801,0.4538,4.48,0.0622,1.645,0.1765,0.1013
"['Artisanal Sourdough Bread', 'Slow-Simmered Marinara']","['72% Dark Chocolate Bar', 'Penne Rigate Pasta']",Artisanal Sourdough Bread + Slow-Simmered Marinara,72% Dark Chocolate Bar + Penne Rigate Pasta,Artisanal Sourdough Bread + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar + Penne Rigate Pasta,0.0447,0.4323,4.48,0.0347,1.592,0.1034,0.0965
"['Artisanal Sourdough Bread', 'Organic Bananas', 'Organic Whole Milk']",['Creamy Peanut Butter'],Artisanal Sourdough Bread + Organic Bananas + Organic Whole Milk,Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Bananas + Organic Whole Milk ➔ Creamy Peanut Butter,0.0397,0.7434,4.471,0.0308,3.25,0.0534,0.1663
"['Fresh Limes', 'Mild Chunky Salsa']","['Fresh Organic Cilantro', 'Sparkling Mineral Water']",Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes + Mild Chunky Salsa ➔ Fresh Organic Cilantro + Sparkling Mineral Water,0.047,0.4653,4.47,0.0365,1.676,0.101,0.1041
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']","['Fresh Limes', 'Mild Chunky Salsa']",Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes + Mild Chunky Salsa,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Fresh Limes + Mild Chunky Salsa,0.047,0.4515,4.47,0.0365,1.639,0.1041,0.101
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']","['Artisanal Sourdough Bread', 'Penne Rigate Pasta']",72% Dark Chocolate Bar + Grated Parmesan Cheese,Artisanal Sourdough Bread + Penne Rigate Pasta,72% Dark Chocolate Bar + Grated Parmesan Cheese ➔ Artisanal Sourdough Bread + Penne Rigate Pasta,0.0471,0.4806,4.463,0.0365,1.718,0.098,0.1077
"['Artisanal Sourdough Bread', 'Penne Rigate Pasta']","['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']",Artisanal Sourdough Bread + Penne Rigate Pasta,72% Dark Chocolate Bar + Grated Parmesan Cheese,Artisanal Sourdough Bread + Penne Rigate Pasta ➔ 72% Dark Chocolate Bar + Grated Parmesan Cheese,0.0471,0.4373,4.463,0.0365,1.603,0.1077,0.098
"['Artisanal Sourdough Bread', 'Organic Bananas']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Organic Bananas,Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas ➔ Organic Strawberry Jam,0.0696,0.7273,4.462,0.054,3.069,0.0957,0.163
['Organic Strawberry Jam'],"['Artisanal Sourdough Bread', 'Organic Bananas']",Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas,Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Organic Bananas,0.0696,0.427,4.462,0.054,1.578,0.163,0.0957
"['Extra Virgin Olive Oil', 'Organic Baby Spinach', 'Roasted Salted Almonds']",['Oven Roasted Turkey Breast'],Extra Virgin Olive Oil + Organic Baby Spinach + Roasted Salted Almonds,Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Organic Baby Spinach + Roasted Salted Almonds ➔ Oven Roasted Turkey Breast,0.0426,0.5413,4.459,0.033,1.915,0.0787,0.1214
['Oven Roasted Turkey Breast'],"['Extra Virgin Olive Oil', 'Organic Baby Spinach', 'Roasted Salted Almonds']",Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Organic Baby Spinach + Roasted Salted Almonds,Oven Roasted Turkey Breast ➔ Extra Virgin Olive Oil + Organic Baby Spinach + Roasted Salted Almonds,0.0426,0.3509,4.459,0.033,1.419,0.1214,0.0787
"['Extra Virgin Olive Oil', 'Oven Roasted Turkey Breast', 'Sparkling Mineral Water']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Sparkling Mineral Water,Organic Baby Spinach,Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Sparkling Mineral Water ➔ Organic Baby Spinach,0.0427,0.8914,4.457,0.0331,7.369,0.0479,0.2
"['Oven Roasted Turkey Breast', 'Roasted Salted Almonds', 'Roma Tomatoes']",['Organic Baby Spinach'],Oven Roasted Turkey Breast + Roasted Salted Almonds + Roma Tomatoes,Organic Baby Spinach,Oven Roasted Turkey Breast + Roasted Salted Almonds + Roma Tomatoes ➔ Organic Baby Spinach,0.0418,0.8913,4.456,0.0324,7.357,0.0469,0.2
"['Extra Virgin Olive Oil', 'Oven Roasted Turkey Breast', 'Roasted Salted Almonds']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Roasted Salted Almonds,Organic Baby Spinach,Extra Virgin Olive Oil + Oven Roasted Turkey Breast + Roasted Salted Almonds ➔ Organic Baby Spinach,0.0426,0.8912,4.456,0.033,7.354,0.0478,0.2
"['Extra Virgin Olive Oil', 'Roasted Salted Almonds', 'Roma Tomatoes']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Roasted Salted Almonds + Roma Tomatoes,Organic Baby Spinach,Extra Virgin Olive Oil + Roasted Salted Almonds + Roma Tomatoes ➔ Organic Baby Spinach,0.069,0.8903,4.452,0.0535,7.294,0.0775,0.2
"['Organic Hass Avocados', 'Organic Tortilla Chips']","['Fresh Limes', 'Fresh Organic Cilantro']",Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro,Organic Hass Avocados + Organic Tortilla Chips ➔ Fresh Limes + Fresh Organic Cilantro,0.1342,0.7735,4.448,0.104,3.647,0.1735,0.1739
"['Fresh Limes', 'Fresh Organic Cilantro']","['Organic Hass Avocados', 'Organic Tortilla Chips']",Fresh Limes + Fresh Organic Cilantro,Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro ➔ Organic Hass Avocados + Organic Tortilla Chips,0.1342,0.7717,4.448,0.104,3.62,0.1739,0.1735
"['Artisanal Sourdough Bread', 'Organic Bananas', 'Organic Whole Milk']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Organic Bananas + Organic Whole Milk,Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas + Organic Whole Milk ➔ Organic Strawberry Jam,0.0387,0.7247,4.446,0.03,3.041,0.0534,0.163
"['Fresh Limes', 'Mild Chunky Salsa']","['Organic Hass Avocados', 'Organic Tortilla Chips']",Fresh Limes + Mild Chunky Salsa,Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa ➔ Organic Hass Avocados + Organic Tortilla Chips,0.0779,0.7713,4.445,0.0604,3.614,0.101,0.1735
"['Organic Hass Avocados', 'Organic Tortilla Chips']","['Fresh Limes', 'Mild Chunky Salsa']",Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa,Organic Hass Avocados + Organic Tortilla Chips ➔ Fresh Limes + Mild Chunky Salsa,0.0779,0.449,4.445,0.0604,1.632,0.1735,0.101
"['Extra Virgin Olive Oil', 'Organic Hass Avocados', 'Roasted Salted Almonds']",['Organic Baby Spinach'],Extra Virgin Olive Oil + Organic Hass Avocados + Roasted Salted Almonds,Organic Baby Spinach,Extra Virgin Olive Oil + Organic Hass Avocados + Roasted Salted Almonds ➔ Organic Baby Spinach,0.071,0.8886,4.443,0.055,7.182,0.0799,0.2
"['Extra Virgin Olive Oil', 'Roasted Salted Almonds', 'Roma Tomatoes']",['Oven Roasted Turkey Breast'],Extra Virgin Olive Oil + Roasted Salted Almonds + Roma Tomatoes,Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Roasted Salted Almonds + Roma Tomatoes ➔ Oven Roasted Turkey Breast,0.0418,0.5394,4.443,0.0324,1.907,0.0775,0.1214
"['72% Dark Chocolate Bar', 'Slow-Simmered Marinara']","['Extra Virgin Olive Oil', 'Penne Rigate Pasta']",72% Dark Chocolate Bar + Slow-Simmered Marinara,Extra Virgin Olive Oil + Penne Rigate Pasta,72% Dark Chocolate Bar + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil + Penne Rigate Pasta,0.0429,0.4483,4.443,0.0332,1.63,0.0957,0.1009
"['Extra Virgin Olive Oil', 'Penne Rigate Pasta']","['72% Dark Chocolate Bar', 'Slow-Simmered Marinara']",Extra Virgin Olive Oil + Penne Rigate Pasta,72% Dark Chocolate Bar + Slow-Simmered Marinara,Extra Virgin Olive Oil + Penne Rigate Pasta ➔ 72% Dark Chocolate Bar + Slow-Simmered Marinara,0.0429,0.4252,4.443,0.0332,1.573,0.1009,0.0957
['Organic Baby Spinach'],"['Extra Virgin Olive Oil', 'Organic Hass Avocados', 'Roasted Salted Almonds']",Organic Baby Spinach,Extra Virgin Olive Oil + Organic Hass Avocados + Roasted Salted Almonds,Organic Baby Spinach ➔ Extra Virgin Olive Oil + Organic Hass Avocados + Roasted Salted Almonds,0.071,0.355,4.443,0.055,1.427,0.2,0.0799
"['Mild Chunky Salsa', 'Organic Tortilla Chips']","['Fresh Limes', 'Organic Hass Avocados']",Mild Chunky Salsa + Organic Tortilla Chips,Fresh Limes + Organic Hass Avocados,Mild Chunky Salsa + Organic Tortilla Chips ➔ Fresh Limes + Organic Hass Avocados,0.0779,0.7829,4.436,0.0603,3.793,0.0995,0.1765
"['Fresh Limes', 'Organic Hass Avocados']","['Mild Chunky Salsa', 'Organic Tortilla Chips']",Fresh Limes + Organic Hass Avocados,Mild Chunky Salsa + Organic Tortilla Chips,Fresh Limes + Organic Hass Avocados ➔ Mild Chunky Salsa + Organic Tortilla Chips,0.0779,0.4414,4.436,0.0603,1.612,0.1765,0.0995
"['Artisanal Sourdough Bread', 'Extra Virgin Olive Oil', 'Penne Rigate Pasta']",['Grated Parmesan Cheese'],Artisanal Sourdough Bread + Extra Virgin Olive Oil + Penne Rigate Pasta,Grated Parmesan Cheese,Artisanal Sourdough Bread + Extra Virgin Olive Oil + Penne Rigate Pasta ➔ Grated Parmesan Cheese,0.046,0.9002,4.434,0.0356,7.986,0.0511,0.203
